"Item","Total","Missing","Available"
"白桦木活板门",9216,9216,0
"平滑石台阶",9003,9003,0
"平滑石头",6177,6177,0
"充能铁轨",3468,3468,0
"岩浆块",3468,3468,0
"灵魂沙",2305,2305,0
"白色染色玻璃",2198,2198,0
"侦测器",1195,1195,0
"活塞",768,768,0
"红石块",212,212,0
"投掷器",204,204,0
"橡树树叶",196,196,0
"漏斗",172,172,0
"红石火把",124,124,0
"红石中继器",117,117,0
"红石比较器",116,116,0
"箱子",114,114,0
"浮冰",112,112,0
"石砖楼梯",107,107,0
"火把",102,102,0
"铁轨",102,102,0
"黏液块",86,86,0
"激活铁轨",54,54,0
"线",52,52,0
"红石粉",50,50,0
"石砖",44,44,0
"黄色地毯",36,36,0
"白桦木告示牌",22,22,0
"灰色地毯",20,20,0
"黏性活塞",17,17,0
"冰",14,14,0
"工作台",14,14,0
"水桶",14,14,0
"白色染色玻璃板",14,14,0
"红色地毯",8,8,0
"拉杆",2,2,0
"熔岩桶",1,1,0
"红石灯",1,1,0
